numero	binario	posiciones	sumas	filtro_final
2	10	[2]	[4]	[4]:(4|1)
6	110	[3 2]	[4 5 6]	[4 6]:(4|2)
10	1010	[4 2]	[4 6 8]	[4 6 8]:(4|3)
22	10110	[5 3 2]	[4 5 6 7 8 10]	[4 6 8 10]:(4|4)
42	101010	[6 4 2]	[4 6 8 10 12]	[4 6 8 10 12]:(4|5)
86	1010110	[7 5 3 2]	[4 5 6 7 8 9 10 12 14]	[4 6 8 10 12 14]:(4|6)
166	10100110	[8 6 3 2]	[4 5 6 8 9 10 11 12 14 16]	[4 6 8 10 12 14 16]:(4|7)
334	101001110	[9 7 4 3 2]	[4 5 6 7 8 9 10 11 12 13 14 16 18]	[4 6 8 10 12 14 16 18]:(4|8)
650	1010001010	[10 8 4 2]	[4 6 8 10 12 14 16 18 20]	[4 6 8 10 12 14 16 18 20]:(4|9)
1302	10100010110	[11 9 5 3 2]	[4 5 6 7 8 10 11 12 13 14 16 18 20 22]	[4 6 8 10 12 14 16 18 20 22]:(4|10)
2602	101000101010	[12 10 6 4 2]	[4 6 8 10 12 14 16 18 20 22 24]	[4 6 8 10 12 14 16 18 20 22 24]:(4|11)
5206	1010001010110	[13 11 7 5 3 2]	[4 5 6 7 8 9 10 12 13 14 15 16 18 20 22 24 26]	[4 6 8 10 12 14 16 18 20 22 24 26]:(4|12)
10378	10100010001010	[14 12 8 4 2]	[4 6 8 10 12 14 16 18 20 22 24 26 28]	[4 6 8 10 12 14 16 18 20 22 24 26 28]:(4|13)
20758	101000100010110	[15 13 9 5 3 2]	[4 5 6 7 8 10 11 12 14 15 16 17 18 20 22 24 26 28 30]	[4 6 8 10 12 14 16 18 20 22 24 26 28 30]:(4|14)
41514	1010001000101010	[16 14 10 6 4 2]	[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32]	[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32]:(4|15)
83030	10100010001010110	[17 15 11 7 5 3 2]	[4 5 6 7 8 9 10 12 13 14 16 17 18 19 20 22 24 26 28 30 32 34]	[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34]:(4|16)
166026	101000100010001010	[18 16 12 8 4 2]	[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36]	[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36]:(4|17)
332054	1010001000100010110	[19 17 13 9 5 3 2]	[4 5 6 7 8 10 11 12 14 15 16 18 19 20 21 22 24 26 28 30 32 34 36 38]	[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38]:(4|18)
664106	10100010001000101010	[20 18 14 10 6 4 2]	[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40]	[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40]:(4|19)
